narrative,body_part,work_activity,accident_cause,cluster,distance_to_centroid,rank_in_cluster
EE was carrying 5-gallon fuel cans up top the warming heaters and strained shoulder.,strained shoulder,carrying 5-gallon fuel cans,up top the warming heaters,0,0.09138608,1
Employee was picking up a used liner off of the ground and turned and leaned forward to put it in the skid steer bucket and felt a sharp pain in chest.,pain in chest,picking up a used liner,turned and leaned forward,0,0.13933149,2
"Employee was doing a preshift inspection on the sweeper.  Employee took the filter out and bent over to tap it on the ground to clean and when the employee stood up, EE felt a pull in their lower back.",pull in their lower back,preshift inspection,bent over to tap it on the ground,0,0.141737047,3
While performing the task of removing aeration grates from the cooler floor they said they lifted a grate out of place and as they stood back up felt a pope in their lower back.,pope in their lower back,removing aeration grates,No information available in narrative,0,0.145492398,4
IE was assisting with replacing a concave into the primary crusher. While guiding the concave the IE attempting to push the concave into place and felt a slight pinch in EE's lower back. IE diagnosed with slight lower back strain.  ,pinch in EE's lower back,assisting with replacing a concave into the primary crusher,IE attempting to push the concave into place,0,0.146664892,5
EE was assisting electricians by lifting bin to make weight change on load cell when EE felt a shock sensation in their neck. ,shock sensation in their neck,assisting electricians by lifting bin to make weight change on load cell,No information available in narrative,0,0.14713362,6
"Employee stated: was in the process of pulling the chain up to release the pin, which assists in the dock being raised up, when EE noticed that it felt like had pulled something in their groin area.",pulled something in their groin area,pulling the chain up,No information available in narrative,0,0.160002602,7
"Employee was doing a shop inspection and seen a tire out of place, when EE bent down and picked it up to return it to its proper location EE felt pain in EE's lower back.",pain in EE's lower back,shop inspection,EE bent down,0,0.178301799,8
EE was assisting in moving an electric motor when EE felt pain in EE's back. Three mechanics were dragging an electric 30 hp motor over a steel graded floor when one of the employees complained of back pain.,pain in EE's back,assisting in moving an electric motor,dragging an electric 30 hp motor,0,0.181964892,9
"EE was pushing a portable welder. As EE was doing so, EE strained right hamstring.",strained right hamstring,pushing a portable welder,No information available in narrative,0,0.197425646,10
Employee was removing a sprocket on #3 aerator. The sprocket was heavier than the employee thought and dropped it onto the guard which was on the employee's right foot. The employee also smashed their right thumb between the sprocket and the guard. The employee's right thumb was fractured.,right thumb was fractured,removing a sprocket,dropped it onto the guard,1,0.051157335,1
"Injured employee & another employee were handling a piece of metal. While turning it to the other side, the metal struck the other employee in the side (no injury), causing the employee to drop their side. This made the metal fall and bounce. When it bounced, it caught IE's left middle finger between the table & the metal. The finger was smashed & had a small cut.",finger was smashed & had a small cut,handling a piece of metal,the employee to drop their side,1,0.097935338,2
Closing a clam guard on a pump the guard caught the employee's left thumb as it came down.  The employee's left thumb was caught in/between causing a fracture.,left thumb was caught in/between causing a fracture,Closing a clam guard on a pump,No information available in narrative,1,0.105913647,3
Screw conveyor was not working and needed to be repaired.  There were two employees working on the job.  They went to lift up the lid on top of the screw when one of the employees lost their grip causing the lid to fall on the other employee's left pinky finger causing a laceration. ,left pinky finger causing a laceration,lift up the lid on top of the screw,lid to fall on,1,0.112990069,4
Employee was moving a shim plate into place when it slipped out of employee's hand causing the approximately 300lbs plate to fall on employee's finger smashing the tip of it.,finger smashing the tip of it,moving a shim plate,300lbs plate to fall on employee's finger,1,0.130389253,5
"While closing a gate hopper on railcar, the bar used to turn the knuckle slipped from the knuckle and pinched the employees left middle ring finger between the bar and the railcar.",pinched the employees left middle ring finger,closing a gate hopper on railcar,bar used to turn the knuckle slipped from the knuckle,1,0.191147441,6
"Two employees were installing a metal cover on top of a silo.  While repositioning the cover, one of the employees pulled up on handle forcibly causing the handle on the opposite side to go down rapidly pinching the end of the employee's middle finger between the cover's handle and the silo roof.  This caused a laceration to the finger and the loss of the fingernail.    ",laceration to the finger and the loss of the fingernail,installing a metal cover on top of a silo,pulled up on handle forcibly,1,0.200993939,7
"Teammate while holding the Manual override with their right hand inserted their left index finger into the Borax Valve to see if it was clean. The teammates stated their right hand slipped off the controls and the valve closed and amputated approx 1 of EE's left index finger.""",amputated approx 1 of EE's left index finger,holding the Manual override,right hand slipped off the controls and the valve closed,1,0.220747479,8
Maintenance employee directed the mixer operator to stand on a ladder and see if the valve was opening all the way prior to reassembling the pipe. Mixer operator put their middle finger into the pipe opening. The valve closed on the tip of the finger. The impact caused an avulsion of the workers left hand middle fingertip.,avulsion of the workers left hand middle fingertip,stand on a ladder and see if the valve was opening,put their middle finger into the pipe opening,1,0.221571381,9
"A mechanic had their right hand on a new 64 idler and left hand on the belt structure underneath the belt. As they were guiding the idler into place, it slipped off their shoulder and right hand and fell 2-3"" landing on their left hand. This resulted in lacerations to the skin on their left ring finger.""",lacerations to the skin on their left ring finger,guiding the idler into place,slipped off their shoulder and right hand,1,0.222169262,10
Employee was welding inside a crusher. When employee stepped out of the crusher their left knee gave out. Ice was immediately applied to the left knee and employee requested medical treatment where they were signed out of work. No specific injury has been identified as of yet.  ,left knee gave out,welding inside a crusher,No information available in narrative,2,0.110369625,1
"EMPLOYEE WAS CLIMBING ON LOADER AND REACHED FOR TOP OF HANDLE TO PULL SELF UP.  EE FELT SOMETHING POP IN LEFT FOREARM.  WENT TO ER, THEY TOLD EE IT WAS A STRAIN, EE WASNT GETTING ANY BETTER HAD MRI DONE AND RESULTS WAS A SMALL TEAR. HAD OUTPATIENT SURGERY ON 04/10/2023, HASNT MISSED ANY WORK",POP IN LEFT FOREARM,CLIMBING ON LOADER,TO PULL SELF UP,2,0.204065883,2
"Employee was crouched down and felt a pop in EE's knee when EE stood up. Employee was seen by a doctor on 02/06/25, where EE did not receive any treatment and was not placed on modified duty. EE was seen again on 02/17/25, where EE was placed on modified duty.",pop in EE's knee,crouched down,No information available in narrative,2,0.209388491,3
6 months ago right shoulder soreness was reported to coach when associate tried to move a jersey block that was tipped over and stuck in the mud and had water in it. Associate refused to get checked out by medical professional or any medical treatment. 12/8/22 received notice of restrictions from same associate for injury of same shoulder.,right shoulder soreness,move a jersey block,No information available in narrative,2,0.217600861,4
EE was closing the doors on the passenger elevator and got right hand and middle finger caught between the doors.  EE reported the incident on 9/18 as a first aid.  On 09/23 EE requested to see a Dr.  EE got an exam and X-ray.  X-ray was negative.  On 09/27 EE went for follow up and was placed on restricted duty because finger looked infected and was given an antibiotic.,finger looked infected,closing the doors on the passenger elevator,right hand and middle finger caught between the doors,2,0.221903089,5
"Employee fell while doing maintenance on wash plant and landed on Right hip causing pain, employee finished out shift, returned to work the next morning and left in afternoon to go see Dr.  Employee has a deep tissue bruise and is being treated by a Physical Therapist.",Right hip causing pain,doing maintenance on wash plant,Employee fell,2,0.239555585,6
Employee walking through a doorway carrying two buckets of tools.  Tripped and fell on shoulder.  Initially got better then pain did not go away.  Went to doctor  months later and found tear requiring surgery.,on shoulder,walking through a doorway carrying two buckets of tools,Tripped and fell,2,0.247352306,7
"On 10/3 an EE was prepping up the bleeders on Tailings. EE lifted up the pipe and felt a pop on their left side. EE went home. On 10/8/24, EE notified the site of the pop and was seen at the clinic. EE was then issued restrictions.",pop on their left side,prepping up the bleeders on Tailings,lifted up the pipe and felt,2,0.253204876,8
Teammate reported on 022625 that EE had been injured on 072424 by being hit by a Stretch wrapper,No information available in narrative,No information available in narrative,being hit by a Stretch wrapper,2,0.2534977,9
"Employee reported eye was irritated when EE woke up. Does not remember a specific incident, but assumes it happened at work the day before (6/20)",eye was irritated,No information available in narrative,No information available in narrative,2,0.257304263,10
The employee disconnected the air hose from the lance to inspect the ball valve. While attempting to inspect the ball of the ball valve the air compressed air in the lance gave way then air and debris shot under their safety glasses and into their eye.,into their eye,inspect the ball valve,compressed air in the lance gave way,3,0.060053888,1
Strained elbow working on kiln baghouse dust collector,Strained elbow,working on kiln baghouse dust collecto,No information available in narrative,3,0.061841432,2
"The Employee was blow drying the ceiling in the air compressor, cleaning the debris",No information available in narrative,cleaning the debris,No information available in narrative,3,0.071395533,3
"While checking the torch on K1, employee noticed an air lance inserted into the cyclone on K2 hood and when walking to check why it was there the material blew out of the pipe and onto their arm and face.",arm and face,checking the torch on K1,material blew out of the pipe,3,0.075936619,4
Employee was troubleshooting issues with material flow at a cement finishing product mill. During this process the employee opened an inspection door to an air slide and when EE opened the door a flush of material came out and got in EE's eye.,eye,troubleshooting issues with material flow at a cement finishing product mill,flush of material came out,3,0.090038717,5
During the course of restarting finish mill 2 the employee was checking air slides for blockages. The employee opened an inspection door of an air slide and a blockage from upstream became dislodged. Dust from the dislodgement entered the employee's eyes although employee was wearing safety glasses. ,eyes,checking air slides for blockages,Dust from the dislodgement,3,0.102724174,6
Employee was attempting clear a plug in a chute when an air blaster discharged projecting coal dust in the employee's eyes.,eyes,clear a plug in a chute,coal dust,3,0.113940294,7
Falling debris in side of cyclone,No information available in narrative,No information available in narrative,Falling debris,3,0.11548149,8
Employee was chasing an air leak at the dryer and when they went to adjust the couplings in the lines..  Upon tightening the PT it blew open and insulation particles got in their throat and ears.,insulation particles got in their throat and ears,chasing an air leak at the dryer,it blew open,3,0.119465082,9
Employee was working on the F780 clinker/slag conveying system.  Employee looked up into the discharge chute of the F780 dust collection system to evaluate the condition of the chute and observe the condition of the dust collector bags.  Employee knocked loose cement/slag dust which fell into employee's left eye.  The employee was wearing safety glasses. ,left eye,working on the F780 clinker/slag conveying system,loose cement/slag dust which fell,3,0.123203628,10
"SUBMITTED UNDER PROTEST. EVENT WAS NOT ON AN MSHA ID.  On July 23, 2023, other entities found the body of a trespasser at a substation not on mine property and contacted regulatory agencies. When Sundial personnel arrived onsite, police, fire, EMS, MSHA, OMHST, and the coroner were already present. Sundial cooperated with the investigations though the site was not on mine property.",No information available in narrative,No information available in narrative,No information available in narrative,4,0.645223704,1
"EE was an over the road truck driver for a trucking company, not a miner. EE passed away from as yet undetermined personal medical factors while in the truck cab on the scale at the Camp Verde Gyp Mine. The death was not related to any mining activity, event, incident or action. EE's last CDL medical clearance to drive was on 01/31/2022 and did not expire until 01/31/2023.",No information available in narrative,No information available in narrative,undetermined personal medical factors,4,0.866630969,2
"Employee was driving an 18 wheeler from prep plant to barge facility and truck overturned. EE was taken to hospital with injuries to left leg, ribs and shoulder. ","injuries to left leg, ribs and shoulder",driving an 18 wheeler,truck overturned,4,0.879761722,3
Employee was found deceased in their office. Initial conversion with the coroner stated that the cause of death was not work related and most likely a personal medical issue.  ,No information available in narrative,No information available in narrative,personal medical issue,4,0.91505563,4
Death due to c. Pulmonary Embolism,No information available in narrative,No information available in narrative,Pulmonary Embolism,4,1.042238316,5
Unknown.  Employee found unresponsive.,No information available in narrative,No information available in narrative,No information available in narrative,4,1.06740327,6
"During the EE's work shift, EE experienced what was reported to Contractor by the treating physician as a heart attack which resulted in EE's death. It is Contractor's understanding that the incident is classified as Degree 8 - Natural Causes.",No information available in narrative,No information available in narrative,heart attack,4,1.085058142,7
The employee was deemed to have had a massive heart attack.,No information available in narrative,No information available in narrative,heart attack,4,1.110230435,10
"Employee was cutting the metal shipping straps that were securing a new roll of conveyor belt. The employee placed themselves in front of the band while cutting it with a pair of needle nose pliers with side cutters.  When it was sheared, the released energy caused the band to spring out and strike them in the forearm.",the forearm,cutting the metal shipping straps,the band to spring out and strike,5,0.040008327,1
Employee was cutting a few feet off a hose to replace a section on a waterline that was leaking. While doing so employee went to cut the piece and that's when they cut their middle finger on the tip of the left hand.,cut their middle finger on the tip of the left hand,cutting a few feet off a hose,No information available in narrative,5,0.087740091,2
Employee was repairing a broken airline on top of tank #6. Employee was cutting new airline to fit in the location. Knife employee was using went through the airline and contacted the employee's left thumb with the open blade.,left thumb,repairing a broken airline on top of tank #6,No information available in narrative,5,0.118600436,3
"Employee was making a gasket with gum rubber and was cutting the pattern with a utility knife on a table in the carpenter shop. When the knife caught on the material and more pressure was applied, the blade came free and went across the glove on the left thumb. Which resulted in employee's thumb being cut requiring 3 stitches. ",thumb being cut,making a gasket with gum rubber,"more pressure was applied, the blade came free",5,0.119499718,4
"An employee was using a single bladed knife to cut through and remove a fiber material support strap from a pallet with a secured bucket elevator head pulley.  The force applied to cut the strap and direction of the cut angle allowed the blade to make contact with the employee's left forearm and created an ~ 1.5 long cut. """,left forearm and created an ~ 1.5 long cut,using a single bladed knife to cut through and remove a fiber material support strap,force applied to cut,5,0.152740914,5
"At around 8PM on January 22nd, the Jet Mill Bagger was attempting to cut open a pallet of new bags and slipped causing a finger laceration that required stiches to repair. The bagger was using a box cutter to cut off the plastic banding used to secure the pallet loads.",finger laceration,attempting to cut open a pallet of new bags,slipped,5,0.172658606,6
"Employee was cutting a piece of rubber to try and stop a leak. Was holding the rubber with left hand while cutting with right hand. EE cut thru the glove, cutting pinky finger on left hand.",cutting pinky finger on left hand,cutting a piece of rubber,No information available in narrative,5,0.181856486,7
"Employee cutting belting for back flaps for feed ends of screen.  Employee had the belting on the ground cutting, while on knees the utility knife slipped from the rubber, causing small laceration to inner left side of right knee.",laceration to inner left side of right knee,cutting belting for back flaps,utility knife slipped,5,0.182627469,8
Employee was trimming the bottom tab off a poly-deck screen so it would fit flush against the side of the screen. EE was utilizing a retractable razor knife and as EE cut away from self the blade slipped off catching the tip of EE's left ring finger.,left ring finger,trimming the bottom tab off a poly-deck screen,blade slipped off,5,0.194303397,9
"The employee was retrieving water from the warehouse to take to the pack house. While using a pocket knife to open the wrapping around the water bottles, the employee lacerated left index finger requiring the use of stitches. ",lacerated left index finger,retrieving water from the warehouse,No information available in narrative,5,0.198826639,10
"Miner was walking out of a doorway carrying a part the EE was going to do repairs on, when EE slipped on some ice.  Slipping on the ice caused EE to fall to the ground and drop the part EE was carrying on EE's right ring finger.",right ring finger,walking out of a doorway carrying a part,EE slipped on some ice,6,0.121354488,1
An Exterminator with Orkin was walking through a storage area looking for a trap when EE tripped over an unseen object and fell directly onto left shoulder/upper arm causing a fracture. ,left shoulder/upper arm causing a fracture,walking through a storage area,EE tripped over an unseen object and fell,6,0.157956259,2
"While employee was delivering parts to the mine warehouse, the employee slipped on the snow when returning to EE's vehicle and fell on EE's right side.",right side,delivering parts to the mine warehouse,slipped on the snow,6,0.161011113,3
EE was crossing the grass going to the crude shed and struck right knee on a jersey barrier.,struck right knee,crossing the grass going to the crude shed,No information available in narrative,6,0.168990133,4
PSES Operator was washing floors with water. There was some flock material on the ground and the operator did not see it slipping and falling injuring EE's right knee and left wrist.,right knee and left wrist,washing floors with water,slipping and falling,6,0.175546813,5
