MINE_ID,CONTROLLER_ID,CONTROLLER_NAME,OPERATOR_ID,OPERATOR_NAME,CONTRACTOR_ID,DOCUMENT_NO,SUBUNIT_CD,SUBUNIT,ACCIDENT_DT,CAL_YR,CAL_QTR,FISCAL_YR,FISCAL_QTR,ACCIDENT_TIME,DEGREE_INJURY_CD,DEGREE_INJURY,FIPS_STATE_CD,UG_LOCATION_CD,UG_LOCATION,UG_MINING_METHOD_CD,UG_MINING_METHOD,MINING_EQUIP_CD,MINING_EQUIP,EQUIP_MFR_CD,EQUIP_MFR_NAME,EQUIP_MODEL_NO,SHIFT_BEGIN_TIME,CLASSIFICATION_CD,CLASSIFICATION,ACCIDENT_TYPE_CD,ACCIDENT_TYPE,NO_INJURIES,TOT_EXPER,MINE_EXPER,JOB_EXPER,OCCUPATION_CD,OCCUPATION,ACTIVITY_CD,ACTIVITY,INJURY_SOURCE_CD,INJURY_SOURCE,NATURE_INJURY_CD,NATURE_INJURY,INJ_BODY_PART_CD,INJ_BODY_PART,SCHEDULE_CHARGE,DAYS_RESTRICT,DAYS_LOST,TRANS_TERM,RETURN_TO_WORK_DT,IMMED_NOTIFY_CD,IMMED_NOTIFY,INVEST_BEGIN_DT,narrative,CLOSED_DOC_NO,COAL_METAL_IND
100003,0041044,Lhoist Group,L13586,"Lhoist North America of Alabama, LLC",,220241210019,30,MILL OPERATION/PREPARATION PLANT,2024-04-22,2024,2,2024,3,15.0,6,"NO DYS AWY FRM WRK,NO RSTR ACT",1,?,NO VALUE FOUND,?,NO VALUE FOUND,06,"Blow pipe, Blow gun, Air lance",121,Not Reported,,1800.0,17,MACHINERY,38,"Absorption of radiations, caustics, toxic and noxious substances",1.0,24.46,4.46,6.0,379,"Dryer operator, Kiln operator,  Dry plant operator,  Fluid operator, Bed dryer operator",004,"Blow gun, Airlance",021,"ACIDS,ALKALI,WET CEMENT",130,"BURN,CHEMICL-FUME,COMPOUN",130,EYE(S) OPTIC NERVE/VISON,0.0,0.0,0.0,N,04/22/2024,? ,NO VALUE FOUND,,"While blowing lime dust from the lime cooler access door with air lance, EE got lime in eyes.",,M
100027,M02802,Vicat S A,L12645,"National Cement Co., of AL., Inc.",,220232620017,30,MILL OPERATION/PREPARATION PLANT,2023-07-17,2023,3,2023,4,1030.0,4,DYS AWY FRM WRK & RESTRCTD ACT,1,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,,600.0,09,HANDLING OF MATERIALS,01,Struck against stationary object,1.0,15.17,15.17,15.17,319,Welder (shop),028,Handling supplies or material,019,"BLDG,STRUCT,BOAT,RAFT,NEC",390,"OTHER INJURY,NEC",200,NECK,0.0,71.0,10.0,N,11/06/2023,? ,NO VALUE FOUND,,"Employee was carrying a piece of pipe on shoulder and ran into a door jamb.  This action caused a jarring in employee's shoulder.  Diagnostic treatment, surgery was required which occurred on September 18, 2023.",320233110012,M
100050,0071891,Vulcan Materials Company,L16168,"Vulcan Construction Materials, LLC",,220221960003,30,MILL OPERATION/PREPARATION PLANT,2022-07-07,2022,3,2022,4,1100.0,5,DAYS RESTRICTED ACTIVITY ONLY,1,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,,900.0,09,HANDLING OF MATERIALS,08,Struck by... NEC,1.0,3.0,0.69,0.69,304,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",039,Machine maintenance,086,METAL COVERS & GUARDS,220,"FRACTURE,CHIP",430,CHEST (RIBS/BREAST BONE/CHEST ORGNS),0.0,8.0,0.0,N,07/20/2022,? ,NO VALUE FOUND,,Employee was repairing a tarp arm on a customer's truck when the rod bracket broke and struck EE between the rib cage and abdomen.  EE sought medical attention and is currently on restricted duty.  ,320222070004,M
200001,M06003,Salt River Pima-Maricopa Indian Community,L09362,Phoenix Cement,,220221730041,30,MILL OPERATION/PREPARATION PLANT,2022-06-16,2022,2,2022,3,800.0,5,DAYS RESTRICTED ACTIVITY ONLY,4,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,,600.0,21,OTHER,26,"Bodily reaction, NEC",1.0,9.94,2.94,2.94,302,"Electrician, Lineman",092,"Walking, Running",002,BODILY MOTION,330,"SPRAIN,STRAIN RUPT DISC",550,"LOWER EXTREMITIES, MULTIPLE PARTS",0.0,5.0,0.0,N,06/24/2022,? ,NO VALUE FOUND,,EE felt a pop and pain in right ankle when standing up from desk. Suspects related to a F/A only on the same ankle on 04/11/22. Requested medical evaluation. EE was diagnosed with a strained calf muscle and ankle ligament and returned to work with a brace and restrictions. Treatment is on going.,320221750002,M
200024,0067299,Freeport-McMoRan Inc,L12058,Freeport-McMoRan Morenci Inc.,H409,220241620018,30,MILL OPERATION/PREPARATION PLANT,2024-06-02,2024,2,2024,3,2345.0,6,"NO DYS AWY FRM WRK,NO RSTR ACT",4,?,NO VALUE FOUND,?,NO VALUE FOUND,28,Hand tools (not powered),121,Not Reported,,1800.0,10,HANDTOOLS (NONPOWERED),08,Struck by... NEC,1.0,9.0,2.0,5.0,304,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",030,Hand tools (not powered),046,"AXE,HAMMER,SLEDGE",400,"UNCLASSIFIED,NOT DETERMED",340,FINGER(S)/THUMB,0.0,0.0,0.0,N,06/02/2024,? ,NO VALUE FOUND,,Knocking out a pin with the bullpin. ,,M
200024,0067299,Freeport-McMoRan Inc,L12058,Freeport-McMoRan Morenci Inc.,,220221150012,30,MILL OPERATION/PREPARATION PLANT,2022-04-11,2022,2,2022,3,2010.0,5,DAYS RESTRICTED ACTIVITY ONLY,4,?,NO VALUE FOUND,?,NO VALUE FOUND,40,"Milling machinery, Block press, Ballast machine",121,Not Reported,,1800.0,17,MACHINERY,21,"Caught in, under or between a moving and a stationary object",1.0,18.46,18.46,0.54,374,"Warehouseman, Bagger, Palletizer/Stacker, Store keeper, Packager, Fabricator, Cleaning plant operator",063,Mill equipment,075,"MACHINE-MILL,CLEANING PLT",220,"FRACTURE,CHIP",340,FINGER(S)/THUMB,0.0,18.0,0.0,N,05/18/2022,? ,NO VALUE FOUND,,"The employee's right middle finger got caught in between steel blanks when they adjusted the blanks on the rack. The employee was wearing appropriate PPE, but the pinch was enough to fracture the tip of their finger. ",320221450006,M
200024,0067299,Freeport-McMoRan Inc,L12058,Freeport-McMoRan Morenci Inc.,,220231030003,30,MILL OPERATION/PREPARATION PLANT,2023-04-04,2023,2,2023,3,1130.0,5,DAYS RESTRICTED ACTIVITY ONLY,4,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,,530.0,09,HANDLING OF MATERIALS,30,Over-exertion NEC,1.0,2.0,2.0,0.58,316,"Laborer, Blacksmith, Bull gang, Parts runner, Roustabout, Pick-up man, Pitman",028,Handling supplies or material,003,"BOILR,PRES VSL,AIR HOS,OX",330,"SPRAIN,STRAIN RUPT DISC",350,"UPPER EXTREMITIES, MULTIPLE",0.0,8.0,0.0,N,04/19/2023,? ,NO VALUE FOUND,,Employee states they were hooking up a Vacuum hose connection when they felt pain in their arm.,320231100005,M
200024,0067299,Freeport-McMoRan Inc,L12058,Freeport-McMoRan Morenci Inc.,,220240800007,30,MILL OPERATION/PREPARATION PLANT,2024-03-05,2024,1,2024,2,1100.0,2,PERM TOT OR PERM PRTL DISABLTY,4,?,NO VALUE FOUND,?,NO VALUE FOUND,34,"Locomotive, (motor) - rail-mounted (Battery, Steam, Electric, Air)",121,Not Reported,,600.0,12,POWERED HAULAGE,21,"Caught in, under or between a moving and a stationary object",1.0,1.33,1.33,1.33,369,"Motorman, Motor person, Swamper, Switchman, Locomotive operator",085,"Spot rail cars, Trip riding",107,"STD G RAIL CR,MTR-SURF EQ",100,AMPUTATION OR ENUCLEATION,313,FOREARM/ULNAR/RADIUS,3600.0,,,,,? ,NO VALUE FOUND,,Employee was standing on steps of locomotive to dismount and switch rails when employee fell off train and received severe injury to arm,,M
200112,0067299,Freeport-McMoRan Inc,L17249,Freeport McMoRan Miami Inc,,220232830043,30,MILL OPERATION/PREPARATION PLANT,2023-09-29,2023,3,2023,4,830.0,3,DAYS AWAY FROM WORK ONLY,4,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,,600.0,09,HANDLING OF MATERIALS,28,Over-exertion in pulling or pushing objects,1.0,2.0,2.0,0.08,374,"Warehouseman, Bagger, Palletizer/Stacker, Store keeper, Packager, Fabricator, Cleaning plant operator",028,Handling supplies or material,088,"METAL,NEC(PIPE,WIRE,NAIL)",330,"SPRAIN,STRAIN RUPT DISC",420,BACK (MUSCLES/SPINE/S-CORD/TAILBONE),0.0,0.0,16.0,N,10/30/2023,? ,NO VALUE FOUND,,"Lifting/Pushing/Pulling repetitive motion, employee was stripping copper in the tankhouse.",320233070003,M
200135,M13109,Grupo Mexico S A,L17191,"ASARCO LLC, a Delaware Limited Liability Company",,220222640017,30,MILL OPERATION/PREPARATION PLANT,2022-09-19,2022,3,2022,4,2200.0,6,"NO DYS AWY FRM WRK,NO RSTR ACT",4,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,,1800.0,09,HANDLING OF MATERIALS,04,Struck by falling object,1.0,0.85,0.85,0.46,374,"Warehouseman, Bagger, Palletizer/Stacker, Store keeper, Packager, Fabricator, Cleaning plant operator",028,Handling supplies or material,088,"METAL,NEC(PIPE,WIRE,NAIL)",330,"SPRAIN,STRAIN RUPT DISC",450,SHOULDERS (COLLARBONE/CLAVICLE/SCAPULA),0.0,0.0,0.0,N,09/20/2022,? ,NO VALUE FOUND,,"Secondary Crusher Helper was finishing up clean up when EE walked underneath piping connected to a vacuum truck while another operator was disconnecting it from above. After being disconnected, the pipe fell hitting the Helper on the right shoulder as EE was walking underneath it.",,M
